                       Title	Mean_Control	Mean_Test	Stdev_Control	Stdev_Test	Pearson_Correlation	Observed_Mean_Difference	Variance_of_Differences	t_Statistic	     P	Significance	Confidence_Interval_Control	Confidence_Interval_Test
        Oceanic Boundlesness	      5.8556	   11.163	      10.1764	   12.7118	             0.7082	                 -5.3074	                81.9165	    -1.8544	0.0967	            	                     6.3073	                  7.8787
    Dread of Ego Dissolution	      1.3048	    3.481	       2.2269	    3.5997	             0.7431	                 -2.1762	                  6.003	    -2.8087	0.0204	           *	                     1.3802	                  2.2311
Visionary Restructuazilation	      4.0389	   8.9778	       4.5614	    7.7899	              0.432	                 -4.9389	                50.7884	    -2.1915	0.0561	            	                     2.8271	                  4.8281
        Auditory Alterations	       1.475	     6.15	       2.5591	   11.1711	             0.3615	                  -4.675	               110.6717	    -1.4053	0.1935	            	                     1.5861	                  6.9238
         Vigilance Reduction	      3.7417	    12.85	      10.2019	   10.9932	             0.9563	                 -9.1083	                10.4198	     -8.923	     0	         ***	                     6.3231	                  6.8136
